#OTU_IDs	trait1	metadata_NSTI
Bogoriella_caseilytica-_-Y09911--_HIK_0088_T	30.0	0.09647
Oxalicibacterium_solurbis-_-AB681897--_NBRC_102665_T	32.0	0.05606
Thalassotalea_algicola-_-MN822801--_M1531T	13.0	0.09021000000000001
Flavobacterium_lacisediminis-_-OP422636--_TH16-21T	21.0	0.1075
Nocardia_elegans-_-AJ854057--_IMMIB_N-402_T	29.0	0.01306
Nocardia_artemisiae-_-GU367157--_YIM_65623_T	28.0	0.04468
Myroides_ceti-_-AM292800--_454-2_T	23.0	0.11940999999999999
Gloeomargarita_lithophora-_-CP017675--_D10_T	47.0	0.21466
g__207244	36.0	0.05244
Micromonospora_echinaurantiaca-_-X92618--_DSM_43904_T	28.0	0.07547000000000001
Sunxiuqinia_rutila-_-AB851476--_HG677_T	32.0	0.21049
Natroniella_acetigena-_-FR749904--_DSM_9952_T	33.0	0.16244
g__2894762	35.0	0.21595000000000003
g__2820419	28.0	0.06334
Litoreibacter_halocynthiae-_-JX644172--_P-MA1-7_T	12.0	0.03376
Hymenobacter_defluvii-_-KY883691--_POA9_T	32.0	0.09542
Coraliomargarita_akajimensis-_-CP001998--_DSM_45221_T	25.0	0.0
Qipengyuania_sphaerica-_-MZ749498--_GH29T	29.0	0.02414
Burkholderia_ubonensis-_-AB030584--_GTC-P3-415_T	32.0	0.00944
Methanotorris_formicicus-_-AGJL01000032--_Mc-S-70_T	70.0	0.0
Corallococcus_coralloides-_-AJ811588--_DSM_2259_T	30.0	0.0
Ensifer_fredii-_-X67231--_LMG_6217_T	30.0	0.02281
Belnapia_moabensis-_-AJ871428--_CP2C_T	30.0	0.11241000000000001
Komagataeibacter_hansenii-_-X75620--_NCIB8746-_LMG1527_T	30.0	0.0
Enterocloster_bolteae-_-AJ508452--_16351_T	34.0	0.0337
Janibacter_hoylei-_-FR749912--_DSM_21601_T	37.0	0.0
Dietzia_aurantiaca-_-FR821260--_CCUG_35676_T	31.0	0.03413
Streptomyces_rutgersensis-_-AB184170--_NBRC_12819_T	27.0	0.04556
Lysobacter_erysipheiresistens-_-KT001243--_RS-LYSO-3_T	25.0	0.06941
Dickeya_poaceiphila-_-MT226771--_NCPPB-569_T	26.0	0.02165
Paraburkholderia_pallidirosea-_-KP938221--_DHOK13_T	30.0	0.03303
Kaistella_daneshvariae-_-CP034158--_H3001_T	31.0	0.11400000000000002
Paenibacillus_agarexedens-_-AJ345020--_DSM_1327_T	32.0	0.11027999999999999
Mesorhizobium_sangaii-_-EU514525--_SCAU7_T	26.0	0.048049999999999995
Marinobacter_vulgaris-_-KY344788--_F01_T	28.0	0.042190000000000005
Halospirulina_tapeticola-_-Y18791--_CCC_Baja-95_Cl.2_T	47.0	0.18470999999999999
Psychrobacter_pocilloporae-_-KT444699--_S6-60_T	28.0	0.13065
Streptomyces_parvus-_-DQ442537--_NRRL_B-1455T_T	28.0	0.006999999999999998
Pelosinus_fermentans-_-LK391729--_DSM_17108_T	26.0	0.0
Paraconexibacter_antarcticus-_-ON814778--_02-257T	35.0	0.11883000000000002
Vogesella_amnigena-_-LK056648--_Npb-02_T	31.0	0.12786999999999998
Thiothrix_unzii-_-L79961--_A1-_ATCC_49747_T	25.0	0.05928
g__53460	29.0	0.04267000000000001
Marinobacterium_boryeongense-_-KX832989--_DMHB-2_T	23.0	0.15195
Halobacillus_karajensis-_-AJ486874--_DSM_14948_T	31.0	0.03308
g__2822114	32.0	0.08226
Thermophilibacter_gallinarum-_-MN055918--_ClaCZ62_T	37.0	0.05441
g__422440	37.0	0.07966999999999999
Actinomadura_xylanilytica-_-FR692101--_BK147_T	29.0	0.05331000000000001
Thermodiscus_maritimus-_-X99554--_S2_T	88.0	0.11196
Roseibium_marinum-_-AY628423--_mano18_T	29.0	0.018369999999999997
g__2023705	26.0	0.17117
Parapseudoflavitalea_muciniphila-_-MH002344--_PMP191F_T	26.0	0.13875
Oenococcus_alcoholitolerans-_-HQ009794--_UFRJ-M7.2.18_T	29.0	0.07374
Nocardioides_daphniae-_-AM398438--_D287_T	28.0	0.11491000000000001
Amylibacter_kogurei-_-KY463497--_4G11_T	12.0	0.199
Methylobacterium_symbioticum-_-MN154398--_CECT_9862_T	29.0	0.05184999999999999
Methanococcoides_methylutens-_-FR733669--_DSM2657_T	30.0	0.02776
Modestobacter_caceresii-_-JPMX01000078--_KNN45-2b_T	25.0	0.03945
g__1082702	26.0	0.02386
Gelidibacter_flavus-_-KU513826--_Con4_T	15.0	0.17736000000000002
Bifidobacterium_ramosum-_-KU051447--_TRE_M_T	37.0	0.05569
Natronorubrum_texcoconense-_-AB935414--_JCM_17497_T	42.0	0.04623
Leclercia_tamurae-_-OM987255--_H6S3T	31.0	0.02858999999999999
Sulfitobacter_brevis-_-Y16425--_Ekho_Lake-162_T	23.0	0.0573
Clostridium_innocuum-_-M23732--_B-3_T	37.0	0.11593
g__2894767	24.0	0.11606
g__2811380	30.0	0.07946
Ureaplasma_parvum-_-AF073456--_ATCC27815_T	32.0	0.23251000000000002
g__2811387	23.0	0.18596000000000001
Brevibacillus_schisleri-_-MXAR01000000--_ATCC_35690_T	30.0	0.019739999999999997
Melaminivora_alkalimesophila-_-JQ676982--_CY1_T	28.0	0.05742
Dielma_fastidiosa-_-JF824807--_JC13_T	37.0	0.13581
g__2291840	32.0	0.12161
Bradyrhizobium_huanghuaihaiense-_-HQ231463--_CCBAU_23303_T	28.0	0.03218
Prevotella_falsenii-_-AB429504--_04052_-=_JCM_15124-_T	37.0	0.056139999999999995
Homoserinibacter_gongjuensis-_-JQ639055--_5GH_26-15_T	27.0	0.09438
g__1779002	37.0	0.11115
Salinicola_rhizosphaerae-_-KF898345--_MSSRFH1_T	23.0	0.07853
g__1653176	27.0	0.060230000000000006
g__1653174	37.0	0.04003
Neorhizobium_alkalisoli-_-EU074168--_CCBAU_01393_T	14.0	0.02277
Actibacter_haliotis-_-KC193210--_W113_T	24.0	0.18161
Deinococcus_malanensis-_-KT581022--_T93_T	28.0	0.03988
Thermogemmatispora_carboxidivorans-_-KF193526--_PM5_T	51.0	0.23385
Anoxynatronum_buryatiense-_-EU315116--_Su22_T	36.0	0.15741
Parabacteroides_chartae-_-JN029805--_NS31-3_T	37.0	0.11206000000000002
Actinocorallia_aurantiaca-_-AJ293701--_IMSNU_22193T_T	29.0	0.08421000000000001
Nucisporomicrobium_flavum-_-MW250207--_NEAU-24_T	27.0	0.05215
Natronincola_ferrireducens-_-EU878275--_Z-0511_T	35.0	0.0
Chromohalobacter_beijerinckii-_-AB021386--_ATCC_19372_T	23.0	0.05567999999999999
Anaerococcus_lactolyticus-_-AB673373--_JCM_8140_T	37.0	0.0
g__2750262	30.0	0.08581
Streptomyces_chilikensis-_-JN050256--_RC_1830_T	26.0	0.03118
Halomonas_dongshanensis-_-ON692516--_aquaculturedongshan1T	29.0	0.06824
Zobellia_uliginosa-_-AB680724--_NBRC_14962_T	29.0	0.15209
Bifidobacterium_gallicum-_-D86189--_JCM_8224_T	37.0	0.0
Flavobacterium_daejeonense-_-DQ222427--_GH1-10_T	23.0	0.06827
Dissulfurirhabdus_thermomarina-_-KU051627--_SH388_T	32.0	0.17548
Vibrio_oceanisediminis-_-KM099166--_S37_T	28.0	0.05881
Streptomyces_justiciae-_-LC497890--_3R004_T	27.0	0.026119999999999997
Haematobacter_missouriensis-_-JFGS01000070--_CCUG_52307_T	27.0	0.07436999999999999
Halanaerobium_fermentans-_-AB023308--_R-9_LTP__T	53.0	0.04779
Sulfitobacter_indolifex-_-AJ550939--_Hel_45_T	23.0	0.05248
Muricauda_marina-_-KU315479--_H19-56_T	29.0	0.057969999999999994
Streptomyces_xantholiticus-_-AB184349--_NBRC_13354_T	28.0	0.03977
Buttiauxella_agrestis-_-AJ233400--_DSM_4586_T	30.0	0.0
Tunicatimonas_pelagia-_-AB602437--_N5DB8-4_T	14.0	0.19836
Collinsella_ihumii-_-LN881598--_GD8T	37.0	0.0
Syntrophomonas_bryantii-_-HE654006--_DSM_3014_T	49.0	0.14138
Alkalilimnicola_halodurans-_-AJ404972--_34Alc_LTP__T	29.0	0.01747
Legionella_lytica-_-X66835--_PCM_2298_T	32.0	0.05116
Tepidicella_xavieri-_-DQ295805--_TU-16_T	29.0	0.09248
g__186191	68.0	0.0002
Bacillus_aerophilus-_-AJ831844--_28K_T	41.0	0.004829999999999999
Longibacter_salinarum-_-KU954547--_WDS2C18_T	37.0	0.11305000000000001
Nocardia_acidivorans-_-AM402972--_GW4-1778_T	28.0	0.04249
Muribaculum_gordoncarteri-_-MK521455--_TLL-A4_T	35.0	0.19733
Acinetobacter_brisouii-_-DQ832256--_5YN5-8_T	28.0	0.0
Camelimonas_abortus-_-FR851926--_UK34/07-5_T	27.0	0.14209
Neobacillus_mesonae-_-JX262263--_FJAT-13985_T	30.0	0.02708
g__2812952	27.0	0.25664
Ideonella_dechloratans-_-X72724--_CCUG_30977_T	32.0	0.07217000000000001
Heliomicrobium_sulfidophilum-_-AF249678--_BR4_-T-_T	39.0	0.04801
g__1241326	28.0	0.17563
Caenimonas_aquaedulcis-_-OL587860--_DR4-4T	27.0	0.02675
Streptomyces_bangladeshensis-_-AY750056--_AAB-4_T	27.0	0.051629999999999995
Trebonia_kvetii-_-MN209171--_15TR583_T	34.0	0.15075
Solimonas_flava-_-EF154515--_CW-KD_4_T	28.0	0.0
Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	26.0	0.04692
Palleniella_intestinalis-_-JABKKG010000000--_PINTT	37.0	0.15588000000000002
Actinoplanes_consettensis-_-AB036996--_IFO_14913T_T	28.0	0.02276
g__863253	28.0	0.22959000000000002
Heliorestis_daurensis-_-AF079102--_BT-H1_T	39.0	0.15249000000000001
Aequorivita_echinoideorum-_-KM085326--_CC-CZW007_T	21.0	0.09719
g__64895	34.0	0.006699999999999999
g__1817571	34.0	0.14094
Natronoglycomyces_albus-_-KY775645--_ACPA22_T	28.0	0.12113000000000002
Pedobacter_frigiditerrae-_-MK183015--_RP-1-13_T	27.0	0.08713
Aliiroseovarius_sediminis-_-OM943767--_N1F302T	12.0	0.10422000000000001
Staphylococcus_saprophyticus_subsp._bovis-_-AB233327--_GTC_843_T	33.0	0.00307
Sediminibacterium_lactis-_-JQ638910--_LCJ02_T	26.0	0.11280000000000001
g__2282756	30.0	0.12830000000000003
Aridibacter_famidurans-_-KF245634--_A22_HD_4H_T	29.0	0.43359
g__633413	29.0	0.13847
Microbulbifer_guangxiensis-_-OM349540--_L3T	30.0	0.04338
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	30.0	0.0
Rathayibacter_rubneri-_-ON892742--_ZWT2_19_T	28.0	0.02011
Paenibacillus_turpanensis-_-MT032315--_YIM_B00363_T	33.0	0.13668
Streptomyces_inusitatus-_-AB184445--_NBRC_13601_T	28.0	0.03759
Azohydromonas_sediminis-_-MH046066--_SYSU_G00088_T	35.0	0.05227
Salisediminibacterium_selenitireducens-_-CP001791--_MLS10_T	33.0	0.10973000000000001
Geomonas_ferrireducens-_-MH915555--_S62_T	25.0	0.040249999999999994
Micromonospora_lupini-_-AJ783996--_Lupac_14N_T	28.0	0.09464
Lysobacter_selenitireducens-_-MZ643208--_13AT	25.0	0.05001
Pandoraea_pulmonicola-_-AF139175--_LMG_18106_T	32.0	0.05832
Rhizobacter_dauci-_-AB297965--_H6_-=ATCC43778-_T	35.0	0.045910000000000006
Microbacterium_zeae-_-KT003983--_1204_T	34.0	0.060960000000000014
Acetobacterium_wieringae-_-X96955--_DSM_1911_T	34.0	0.03034
Pseudophaeobacter_flagellatus-_-OL635555--_MA21411-1_T	25.0	0.02132
Campylobacter_novaezeelandiae-_-MK791741--_B423b_T	38.0	0.034350000000000006
Aequorivita_todarodis-_-MF962575--_MYP2-2_T	21.0	0.10474
Paenibacillus_solani-_-KM978206--_FJAT-22460_T	33.0	0.04981
Mannheimia_ovis-_-MH254941--_ZY170218_T	37.0	0.09112
Bartonella_acomydis-_-AB602533--_KS2-1_T	37.0	0.01175
Mangrovibacter_phragmitis-_-KP319034--_MP23_T	37.0	0.06292
Pseudomonas_kermanshahensis-_-JABWRY000000000--_SWRI100T	29.0	0.01267
Anoxybacillus_caldiproteolyticus-_-AY327448--_ATCC_BAA-818-_DSM_15730_T	59.0	0.0706
Massilia_agrisoli-_-MT514500--_MAHUQ-52T	28.0	0.05201
g__1392389	33.0	0.052660000000000005
Xenorhabdus_poinarii-_-X82253--_DSM_4768_T	28.0	0.07116
Bernardetia_litoralis-_-AB681019--_NBRC_15988_T	28.0	0.28207000000000004
Alteromonas_lipotrueae-_-JAESDJ010000001--_MD_674T	31.0	0.052759999999999994
Fusibacter_tunisiensis-_-FR851323--_BELH1_T	39.0	0.19041
Photobacterium_frigidiphilum-_-AY538749--_SL13_T	27.0	0.06259999999999999
g__434	30.0	0.01681
Helicobacter_mastomyrinus-_-AY742307--_MIT_97-5574_T	37.0	0.11644999999999998
Pandoraea_capi-_-LR536850--_LMG_20602_T	32.0	0.0796
g__1172191	29.0	0.11795
Pedobacter_ginsenosidimutans-_-GU138374--_THG-45_T	27.0	0.03383
Liquorilactobacillus_vini-_-AJ576009--_CECT_5924_T	37.0	0.0
Pseudomonas_moorei-_-AM293566--_RW10_T	29.0	0.03881
Desulfocicer_niacini-_-FR733668--_DSM2650_T	27.0	0.10243
Methanocella_conradii-_-JN048683--_HZ254_T	39.0	0.06521
Vibrio_hispanicus-_-AY254040--_LMG_13240_T	27.0	0.06989000000000001
Hymenobacter_terrae-_-KF862488--_DG7A_T	20.0	0.16636
Altererythrobacter_troitsensis-_-AY676115--_KMM_6042_T	28.0	0.09164000000000003
Gemmatimonas_phototrophica-_-CP011454--_AP64_n_T	36.0	0.054150000000000004
Faecalicatena_orotica-_-FR749917--_DSM_1287_T	37.0	0.08573
Goekera_deserti-_-MK392028--_CPCC205119T_T	25.0	0.043719999999999995
Microbacterium_cremeum-_-MW407053--_NY27T	34.0	0.05588000000000001
Streptomyces_fradiae-_-AB184134--_NBRC_12773_T	27.0	0.018940000000000002
Enterobacter_chengduensis-_-MTSO01000000--_WCHECl-C4_T	29.0	0.02767
g__1164882	37.0	0.024059999999999998
Amycolatopsis_cappadoca-_-KX608880--_AG28_T	35.0	0.052989999999999995
Haloparvum_alkalitolerans-_-AB638839--_MK62-1_T	38.0	0.10652
Modestobacter_multiseptatus-_-Y18646--_AA826_LTP__T	20.5	0.0
Sphingomonas_aurantiaca-_-AJ429236--_MA101b_T	30.0	0.09006
Kingella_oralis-_-ACJW02000005--_ATCC_51147_T	37.0	0.0
Sinomonas_flava-_-EU370704--_CW_108_T	26.0	0.08664
Micromonospora_terminaliae-_-KX394339--_TMS7_T	28.0	0.08479
Acinetobacter_indicus-_-JQ608323--_1NM-4_T	28.0	0.0
Yoonia_tamlensis-_-DQ533556--_SSW-35_T	26.0	0.12716000000000002
Pseudochrobactrum_algeriensis-_-MZ227818--_C130915_07T	30.0	0.08204999999999998
Yoonia_vestfoldensis-_-AJ582226--_LMG_22003_T	26.0	0.15622000000000003
Nesterenkonia_natronophila-_-MH225769--_M8_T	33.0	0.07804
Azospira_oryzae-_-AF011347--_6a3_T	37.0	0.0
g__58120	29.0	0.07487
g__58122	29.0	0.03370000000000001
Amaricoccus_macauensis-_-U88042--_Ben104_T	27.0	0.17644
Sphingomonas_quercus-_-MZ343576--_XMGL2T	30.0	0.07905000000000001
Streptomyces_murinus-_-AB184155--_NBRC_12799_T	26.0	0.09924000000000001
Lacrimispora_algidixylanolytica-_-AF092549--_SPL73_T	37.0	0.03518
Paenibacillus_wynnii-_-AJ633647--_LMG_22176_T	32.0	0.10099999999999999
Enterococcus_alishanensis-_-AB807774--_ALS3_T	37.0	0.03522
Megamonas_rupellensis-_-EU346729--_FM1025_T	37.0	0.0
Mycoplasma_glycophilum-_-AF412981--_486-T-_T	37.0	0.10566
Allohahella_antarctica-_-EF495227--_IMCC3113_T	26.0	0.10787999999999999
Saccharopolyspora_tripterygii-_-FJ214364--_YIM_65359_T	31.0	0.055850000000000004
Campylobacter_pinnipediorum_subsp._pinnipediorum-_-CP012546--_RM17260_T	37.0	0.05876000000000001
Thiomicrospira_pelophila-_-L40809--_DSM_1534_T	32.0	0.05755
Natribaculum_breve-_-KF739011--_TRM20010_T	35.0	0.12415999999999999
Shouchella_oshimensis-_-AB188090--_K11_T	34.0	0.15800999999999998
Desulfosoma_profundi-_-HM056226--_SPDX02-08_T	35.0	0.13043
Piscibacillus_halophilus-_-FM864227--_HS224_T	31.0	0.05964
Carnobacterium_funditum-_-S86170--_pf3_T	31.0	0.054540000000000005
Paraburkholderia_phymatum-_-CP001043--_STM815_T	26.0	0.036449999999999996
Sphingobacterium_gobiense-_-KF318647--_H7_T	16.0	0.20356999999999997
Bradyrhizobium_oligotrophicum-_-JQ619230--_LMG_10732_T	28.0	0.0
Parolsenella_massiliensis-_-LT598582--_Marseille-P3237_T	37.0	0.12004999999999998
g__2016	30.0	0.06983
Belliella_alkalica-_-KR233207--_R4-6_/type_materialtype_strain_of_Belliella_alkalicaT	27.0	0.02608
g__2013	39.0	0.03597000000000001
Promicromonospora_citrea-_-X83808--_DSM_43110T_T	28.0	0.02123
Pseudomonas_indica-_-AF302795--_IMT37_LTP__T	31.0	0.05391
Azospirillum_fermentarium-_-JX843282--_CC-LY743_T	27.0	0.08548
Zunongwangia_pacifica-_-OK493753--_C2-37M9T	27.0	0.0248
g__2884243	26.0	0.0029799999999999996
Paraburkholderia_bryophila-_-AM489501--_LMG_23644_T	30.0	0.04208
Providencia_stuartii-_-AF008581--_ATCC_29914_T	32.0	0.02436
Flavobacterium_aquatile-_-AM230485--_DSM_1132_T	25.0	0.0
g__351094	30.0	0.0363
Nocardia_brasiliensis-_-AF430038--_DSM_43758_T	37.0	0.0
Dictyobacter_vulcani-_-LC422201--_W12_T	51.0	0.18731
g__2735	29.0	0.0002
Novosphingobium_barchaimii-_-JN695619--_LL02_T	28.0	0.0
Lentzea_alba-_-MT117827--_NEAU-D13_T	28.0	0.03844
Rufibacter_immobilis-_-HG316123--_MCC_P1_T	20.0	0.20485000000000003
Mesonia_algae-_-AB681172--_NBRC_100447_T	26.0	0.06889
Halorubrum_orientale-_-AB663418--_CECT_7145_T	38.0	0.03898
Peptoniphilus_rhinitidis-_-HM801866--_1-13_T	37.0	0.08007
Furfurilactobacillus_milii-_-OK661007--_FUA3430_T	30.0	0.00409
Serratia_proteamaculans-_-AJ233434--_DSM_4543_T	26.0	0.0
Hyphomicrobium_vulgare-_-AB543807--_JCM_6889_T	16.0	0.02326
Kribbella_qitaiheensis-_-KM094178--_NEAU-GQTH2-3_T	28.0	0.011300000000000001
Stenotrophomonas_bentonitica-_-LT622838--_BII-R7_T	28.0	0.039209999999999995
Rhizobium_laguerreae-_-JN558651--_FB206_T	28.0	0.01821
Beijerinckia_indica_subsp._indica-_-CP001016--_ATCC_9039_T	20.0	0.0
Helicobacter_enhydrae-_-CP016503--_MIT_01-6242_T	37.0	0.05116
Porphyromonas_asaccharolytica-_-CP002689--_DSM_20707_T	37.0	0.0
Arcobacter_bivalviorum-_-FJ573217--_F4_T	26.0	0.1164
g__299568	37.0	0.05539
Glutamicibacter_ardleyensis-_-AJ551163--_An25_T	28.0	0.03033
g__299566	24.0	0.12187000000000002
Streptomyces_albidus-_-GU434243--_CAP_215T	26.0	0.08021
Actinomadura_rayongensis-_-AB889544--_RY35-68_T	31.0	0.02708
Frateuria_terrea-_-EU682683--_VA24_T	28.0	0.09313
Fodinicola_feengrottensis-_-EF490376--_HKI_0501_T	28.0	0.11361
Leptospira_weilii-_-U12676--_serogroup_Celledoni-_serovar_celledoni-_strain_Celledoni_-ATCC_43285-_T	30.0	0.05923
Streptomyces_chromofuscus-_-AB184194--_NBRC_12851_T	27.0	0.03189
Streptomyces_sedi-_-EU925562--_YIM_65188_T	28.0	0.12588
Actinopolyspora_alba-_-GQ480940--_YIM_90480_T	26.0	0.07755000000000001
Bifidobacterium_xylocopae-_-MG597278--_XV2_T	37.0	0.038650000000000004
g__55968	28.0	0.03764000000000001
Corynebacterium_afermentans_subsp._lipophilum-_-X82055--_CIP_103500_T	37.0	0.02157
g__2035978	47.0	0.20975
Aromatoleum_toluolicum-_-AF129465--_T_s_T	28.0	0.0
Lactococcus_reticulitermitis-_-BEDT01000000--_Rs-Y01_T	37.0	0.16695000000000002
Lutibacter_oceani-_-KX279953--_325-5_T	24.0	0.13292
Thalassobius_litorarius-_-KP410684--_MME-075_T	19.0	0.07463
Mariniphaga_anaerophila-_-AB921558--_Fu11-5_T	32.0	0.25128000000000006
Actinopolymorpha_cephalotaxi-_-EU438909--_I06-2230_T	28.0	0.10282
Mycobacterium_heckeshornense-_-AF174290--_S369_T	35.0	0.08149999999999999
Salinicola_tamaricis-_-KT343976--_F01_T	23.0	0.07005999999999998
