"tip_label"	"accesion"	"taxid"
"'M63246, Buchnera aphidicola, Buchnera aphidicola, (M63246), primary endosymbiont of Schizaphis graminum LTP [T] T'"	"M63246"	9
"'AB193724, Methylophilus methylotrophus, Methylophilus methylotrophus, (AB193724), NCIMB 10515 T'"	"AB193724"	17
"'Y18216, Phenylobacterium immobile, Phenylobacterium immobile, (Y18216), E (T) T'"	"Y18216"	21
"'AY653177, Shewanella colwelliana, Shewanella colwelliana, (AY653177), ATCC 39565 T'"	"AY653177"	23
"'X81623, Shewanella putrefaciens, Shewanella putrefaciens, (X81623), LMG 26268 T T'"	"X81623"	24
"'AB681737, Shewanella hanedai, Shewanella hanedai, (AB681737), NBRC 102223 T'"	"AB681737"	25
"'DQ768117, Myxococcus fulvus, Myxococcus fulvus, (DQ768117), ATCC 25199 T'"	"DQ768117"	33
"'DQ768116, Myxococcus xanthus, Myxococcus xanthus, (DQ768116), ATCC 25232 T'"	"DQ768116"	34
"'AJ811623, Corallococcus macrosporus, Corallococcus macrosporus, (AJ811623), DSM 14697 T'"	"AJ811623"	35
"'HE582769, Archangium disciforme, Archangium disciforme, (HE582769), DSM 52716 T'"	"HE582769"	38
"'GU207882, Stigmatella aurantiaca, Stigmatella aurantiaca, (GU207882), DSM 17044 T'"	"GU207882"	41
"'DQ768126, Melittangium lichenicola, Melittangium lichenicola, (DQ768126), DSM 2275 T'"	"DQ768126"	45
"'DQ768106, Archangium gephyra, Archangium gephyra, (DQ768106), DSM 2261 T'"	"DQ768106"	48
"'AJ233938, Chondromyces apiculatus, Chondromyces apiculatus, (AJ233938), Cm a14 T'"	"AJ233938"	51
"'GU207874, Chondromyces crocatus, Chondromyces crocatus, (GU207874), Cm c5 T'"	"GU207874"	52
"'AB084253, Nannocystis exedens, Nannocystis exedens, (AB084253), DSM71 T'"	"AB084253"	54
"'FJ457641, Sorangium cellulosum, Sorangium cellulosum, (FJ457641), DSM14627 T'"	"FJ457641"	56
"'L06174, Vitreoscilla stercoraria, Vitreoscilla stercoraria, (L06174), ATCC 15218 LTP [T] T'"	"L06174"	61
"'HM037993, Vitreoscilla filiformis, Vitreoscilla filiformis, (HM037993), L1401-2 T'"	"HM037993"	63
"'AJ298291, Lysobacter enzymogenes, Lysobacter enzymogenes, (AJ298291), DSM 2043T T'"	"AJ298291"	69
"'AB543807, Hyphomicrobium vulgare, Hyphomicrobium vulgare, (AB543807), JCM 6889 T'"	"AB543807"	83
"'AB680579, Hyphomicrobium methylovorum, Hyphomicrobium methylovorum, (AB680579), NBRC 14180 T'"	"AB680579"	84
"'KF863146, Hyphomonas jannaschiana, Hyphomonas jannaschiana, (KF863146), DSM 5153 T'"	"KF863146"	86
"'L33975, Leptothrix discophora, Leptothrix discophora, (L33975), SS-1 T'"	"L33975"	89
"'AJ535710, Stella humosa, Stella humosa, (AJ535710), DSM5900 T'"	"AJ535710"	94
"'AB681795, Ancylobacter aquaticus, Ancylobacter aquaticus, (AB681795), NBRC 102453 T'"	"AB681795"	100
"'M58775, Polaribacter glomeratus, Polaribacter glomeratus, (M58775), NZ1587 ATCC 43844 T'"	"M58775"	102
"'AF399970, Xanthobacter viscosus, Xanthobacter viscosus, (AF399970), 7d T'"	"AF399970"	110
"'X56305, Gemmata obscuriglobus, Gemmata obscuriglobus, (X56305), UQM 2246 T'"	"X56305"	114
"'HE861893, Blastopirellula marina, Blastopirellula marina, (HE861893), DSM 3645 T'"	"HE861893"	124
"'X98228, Borrelia lusitaniae, Borrelia lusitaniae, (X98228), Poti B2 T'"	"X98228"	139
"'X98232, Borrelia valaisiana, Borrelia valaisiana, (X98232), VS116 T'"	"X98232"	139
"'AJ224138, Borrelia kurtenbachii, Borrelia kurtenbachii, (AJ224138), 25015 T'"	"AJ224138"	139
"'AF210134, Borrelia coriaceae, Borrelia coriaceae, (AF210134), Co53 T'"	"AF210134"	144
"'M88722, Spirochaeta halophila, Spirochaeta halophila, (M88722), RS1 T'"	"M88722"	149
"'FR749931, Spirochaeta isovalerica, Spirochaeta isovalerica, (FR749931), DSM 2461 T'"	"FR749931"	150
"'FR733665, Oceanispirochaeta litoralis, Oceanispirochaeta litoralis, (FR733665), DSM2029 T'"	"FR733665"	151
"'FR733664, Treponema stenostreptum, Treponema stenostreptum, (FR733664), DSM2028 T'"	"FR733664"	152
"'FR749903, Spirochaeta thermophila, Spirochaeta thermophila, (FR749903), DSM 6578 T'"	"FR749903"	154
"'FR749928, Treponema zuelzerae, Treponema zuelzerae, (FR749928), DSM 1903 T'"	"FR749928"	156
"'AB621358, Treponema denticola, Treponema denticola, (AB621358), JCM 8153 T'"	"AB621358"	158
"'MN396624, Treponema phagedenis, Treponema phagedenis, (MN396624), B43.1 T'"	"MN396624"	162
"'FR749895, Treponema bryantii, Treponema bryantii, (FR749895), DSM 1788 T'"	"FR749895"	163
"'X86776, Leptospirillum ferrooxidans, Leptospirillum ferrooxidans, (X86776), L15 T'"	"X86776"	180
"'Y10110, Magnetospirillum magnetotacticum, Magnetospirillum magnetotacticum, (Y10110), DSM 3856 (T) T'"	"Y10110"	188
"'AB680863, Aquaspirillum serpens, Aquaspirillum serpens, (AB680863), NBRC 15465 T'"	"AB680863"	190
"'AY324110, Azospirillum brasilense, Azospirillum brasilense, (AY324110), ATCC 29145; NCIMB 11860 T'"	"AY324110"	192
"'GU256441, Azospirillum lipoferum, Azospirillum lipoferum, (GU256441), DSM 1691 T'"	"GU256441"	193
"'DQ174166, Campylobacter concisus, Campylobacter concisus, (DQ174166), ATCC 33237 T'"	"DQ174166"	199
"'DQ174173, Campylobacter mucosalis, Campylobacter mucosalis, (DQ174173), ATCC 43264 T'"	"DQ174173"	202
"'AB595133, Campylobacter rectus, Campylobacter rectus, (AB595133), JCM 6301 T'"	"AB595133"	203
"'DQ174155, Campylobacter showae, Campylobacter showae, (DQ174155), CCUG 30254 T'"	"DQ174155"	204
"'U01330, Helicobacter pylori, Helicobacter pylori, (U01330), ATCC 43504 LTP [T] T'"	"U01330"	210
"'M88148, Helicobacter acinonychis, Helicobacter acinonychis, (M88148), Eaton 90-119-3 T'"	"M88148"	212
"'M88154, Helicobacter fennelliae, Helicobacter fennelliae, (M88154), CCUG 18820 LTP [T] T'"	"M88154"	215
"'M80205, Helicobacter muridarum, Helicobacter muridarum, (M80205), ST1; ATCC 49282 T'"	"M80205"	216
"'M35048, Helicobacter mustelae, Helicobacter mustelae, (M35048), ATCC 43772 T'"	"M35048"	217
"'AB680359, Pseudoalteromonas carrageenovora, Pseudoalteromonas carrageenovora, (AB680359), NBRC 12985 T'"	"AB680359"	227
"'AJ704540, Elizabethkingia meningoseptica, Elizabethkingia meningoseptica, (AJ704540), ATCC 13253 T'"	"AJ704540"	238
"'MF801369, Flavobacterium piscinae, Flavobacterium piscinae, (MF801369), ICH-30 T'"	"MF801369"	239
"'AB680292, Planococcus okeanokoites, Planococcus okeanokoites, (AB680292), NBRC 12536 T'"	"AB680292"	244
"'AM230485, Flavobacterium aquatile, Flavobacterium aquatile, (AM230485), DSM 1132 T'"	"AM230485"	245
"'AB680758, Chryseobacterium balustinum, Chryseobacterium balustinum, (AB680758), NBRC 15053 T'"	"AB680758"	246
"'AM177497, Empedobacter brevis, Empedobacter brevis, (AM177497), LMG 4011 T'"	"AM177497"	247
"'AJ306889, Halomonas halmophila, Halomonas halmophila, (AJ306889), ATCC 19717 T'"	"AJ306889"	252
"'AY468448, Chryseobacterium indoltheticum, Chryseobacterium indoltheticum, (AY468448), LMG 4025; ATCC27950 T'"	"AY468448"	254
"'AJ438177, Sphingobacterium thalpophilum, Sphingobacterium thalpophilum, (AJ438177), DSM 11723T T'"	"AJ438177"	259
"'Y16927, Paracoccus denitrificans, Paracoccus denitrificans, (Y16927), ATCC 17741T T'"	"Y16927"	266
"'KY039331, Paracoccus halotolerans, Paracoccus halotolerans, (KY039331), CFH 90064 T'"	"KY039331"	267
"'L09663, Thermus aquaticus, Thermus aquaticus, (L09663), YT-1 T'"	"L09663"	271
"'Z15062, Thermus brockianus, Thermus brockianus, (Z15062), YS38 T'"	"Z15062"	275
"'FR749951, Thermus filiformis, Thermus filiformis, (FR749951), DSM 4687 T'"	"FR749951"	276
"'X94201, Xanthobacter autotrophicus, Xanthobacter autotrophicus, (X94201), 7c T'"	"X94201"	280
"'X94199, Xanthobacter flavus, Xanthobacter flavus, (X94199), 301 T'"	"X94199"	281
"'M11224, Comamonas testosteroni, Comamonas testosteroni, (M11224), ATCC 11996 LTP [T] T'"	"M11224"	285
"'HE978271, Pseudomonas aeruginosa, Pseudomonas aeruginosa, (HE978271), DSM 50071 T'"	"HE978271"	287
"'AB681913, Pseudoalteromonas atlantica, Pseudoalteromonas atlantica, (AB681913), NBRC 103033 T'"	"AB681913"	288
"'AB021393, Pseudomonas carboxydohydrogena, Pseudomonas carboxydohydrogena, (AB021393), DSM 1083 T'"	"AB021393"	290
"'D84013, Pseudomonas fluorescens, Pseudomonas fluorescens, (D84013), IAM 12022 T'"	"D84013"	294
"'AF094733, Pseudomonas fragi, Pseudomonas fragi, (AF094733), ATCC 4973 T'"	"AF094733"	296
"'AB009828, Hydrogenophilus thermoluteolus, Hydrogenophilus thermoluteolus, (AB009828), TH-1 T'"	"AB009828"	297
"'Z76663, Pseudomonas marginalis, Pseudomonas marginalis, (Z76663), LMG 2210T T'"	"Z76663"	298
"'D84016, Pseudomonas mendocina, Pseudomonas mendocina, (D84016), NCIB 10541 T'"	"D84016"	300
"'D84018, Pseudomonas oleovorans subsp. oleovorans, Pseudomonas oleovorans subsp. oleovorans, (D84018), IAM 1508 T'"	"D84018"	301
"'D84020, Pseudomonas putida, Pseudomonas putida, (D84020), IAM 1236 T'"	"D84020"	303
"'AB021407, Pelomonas saccharophila, Pelomonas saccharophila, (AB021407), DSM 654 T'"	"AB021407"	304
"'KX714290, Pseudomonas versuta, Pseudomonas versuta, (KX714290), L10.10 T'"	"KX714290"	306
"'KY471137, Pseudomonas laurentiana, Pseudomonas laurentiana, (KY471137), GSL-010 T'"	"KY471137"	306
"'MT507072, Pseudomonas ekonensis, Pseudomonas ekonensis, (MT507072), COR58T'"	"MT507072"	306
